Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,Unnamed: 6
"05:37:22AM Feb 7, 2022",98,72,0,0,0,
"05:37:26AM Feb 7, 2022",98,71,0,0,0,
"05:37:30AM Feb 7, 2022",98,71,0,0,0,
"05:37:34AM Feb 7, 2022",97,73,0,0,0,
"05:37:38AM Feb 7, 2022",97,73,0,0,0,
"05:37:42AM Feb 7, 2022",97,74,0,0,0,
"05:37:46AM Feb 7, 2022",97,74,0,0,0,
"05:37:50AM Feb 7, 2022",97,73,0,0,0,
"05:37:54AM Feb 7, 2022",96,74,0,0,0,
"05:37:58AM Feb 7, 2022",96,65,0,0,0,
"05:38:02AM Feb 7, 2022",96,68,0,0,0,
"05:38:06AM Feb 7, 2022",97,69,0,0,0,
"05:38:10AM Feb 7, 2022",97,74,0,0,0,
"05:38:14AM Feb 7, 2022",97,71,0,0,0,
"05:38:18AM Feb 7, 2022",97,70,0,0,0,
"05:38:22AM Feb 7, 2022",97,75,0,0,0,
"05:38:26AM Feb 7, 2022",97,79,0,0,0,
"05:38:30AM Feb 7, 2022",97,77,0,0,0,
"05:38:34AM Feb 7, 2022",97,73,0,0,0,
"05:38:38AM Feb 7, 2022",97,67,0,0,0,
"05:38:42AM Feb 7, 2022",97,68,0,0,0,
"05:38:46AM Feb 7, 2022",97,73,0,0,0,
"05:38:50AM Feb 7, 2022",97,75,0,0,0,
"05:38:54AM Feb 7, 2022",97,75,0,0,0,
"05:38:58AM Feb 7, 2022",97,71,0,0,0,
"05:39:02AM Feb 7, 2022",96,71,0,0,0,
"05:39:06AM Feb 7, 2022",96,70,0,0,0,
"05:39:10AM Feb 7, 2022",96,70,0,0,0,
"05:39:14AM Feb 7, 2022",97,71,0,0,0,
"05:39:18AM Feb 7, 2022",97,75,0,0,0,
"05:39:22AM Feb 7, 2022",97,70,0,0,0,
"05:39:26AM Feb 7, 2022",97,68,0,0,0,
"05:39:30AM Feb 7, 2022",97,68,0,0,0,
"05:39:34AM Feb 7, 2022",97,66,0,0,0,
"05:39:38AM Feb 7, 2022",97,70,0,0,0,
"05:39:42AM Feb 7, 2022",97,72,0,0,0,
"05:39:46AM Feb 7, 2022",97,74,0,0,0,
"05:39:50AM Feb 7, 2022",97,80,0,0,0,
"05:39:54AM Feb 7, 2022",96,77,0,0,0,
"05:39:58AM Feb 7, 2022",97,81,0,0,0,
"05:40:02AM Feb 7, 2022",96,79,0,0,0,
"05:40:06AM Feb 7, 2022",96,77,0,0,0,
"05:40:10AM Feb 7, 2022",96,73,0,0,0,
"05:40:14AM Feb 7, 2022",97,71,0,0,0,
"05:40:18AM Feb 7, 2022",97,75,0,0,0,
"05:40:22AM Feb 7, 2022",96,83,0,0,0,
"05:40:26AM Feb 7, 2022",96,77,0,0,0,
"05:40:30AM Feb 7, 2022",96,73,0,0,0,
"05:40:34AM Feb 7, 2022",97,67,0,0,0,
"05:40:38AM Feb 7, 2022",97,70,0,0,0,
"05:40:42AM Feb 7, 2022",96,70,0,0,0,
"05:40:46AM Feb 7, 2022",96,69,0,0,0,
"05:40:50AM Feb 7, 2022",97,73,0,0,0,
"05:40:54AM Feb 7, 2022",97,66,0,0,0,
"05:40:58AM Feb 7, 2022",97,64,0,0,0,
"05:41:02AM Feb 7, 2022",97,67,0,0,0,
"05:41:06AM Feb 7, 2022",97,72,0,0,0,
"05:41:10AM Feb 7, 2022",97,82,0,0,0,
"05:41:14AM Feb 7, 2022",97,79,0,0,0,
"05:41:18AM Feb 7, 2022",97,70,0,0,0,
"05:41:22AM Feb 7, 2022",97,72,0,0,0,
"05:41:26AM Feb 7, 2022",97,70,0,0,0,
"05:41:30AM Feb 7, 2022",97,69,0,0,0,
"05:41:34AM Feb 7, 2022",97,72,0,0,0,
"05:41:38AM Feb 7, 2022",97,71,0,0,0,
"05:41:42AM Feb 7, 2022",97,71,0,0,0,
"05:41:46AM Feb 7, 2022",97,73,0,0,0,
"05:41:50AM Feb 7, 2022",97,73,0,0,0,
"05:41:54AM Feb 7, 2022",97,71,0,0,0,
"05:41:58AM Feb 7, 2022",97,73,0,0,0,
"05:42:02AM Feb 7, 2022",97,66,0,0,0,
"05:42:06AM Feb 7, 2022",97,66,0,0,0,
"05:42:10AM Feb 7, 2022",97,74,0,0,0,
"05:42:14AM Feb 7, 2022",97,76,0,0,0,
"05:42:18AM Feb 7, 2022",97,74,0,0,0,
"05:42:22AM Feb 7, 2022",97,75,0,0,0,
"05:42:26AM Feb 7, 2022",97,69,0,0,0,
"05:42:30AM Feb 7, 2022",97,70,0,0,0,
"05:42:34AM Feb 7, 2022",97,74,0,0,0,
"05:42:38AM Feb 7, 2022",97,74,0,0,0,
"05:42:42AM Feb 7, 2022",97,74,0,0,0,
"05:42:46AM Feb 7, 2022",97,80,0,0,0,
"05:42:50AM Feb 7, 2022",97,74,0,0,0,
